ID,lat,lng,Severity,Weather Condition,Visibility (mi),Wind Speed (mph),Precipitation (in),hour,day,month,Description
A-3870258,39.34665,-104.47362,3,Heavy Rain,5,15,0.05,16,4,9,Closed at County Road 134 - Road closed due to accident.
A-3870267,39.565548,-105.067068,2,Fair,10,20,0,15,4,9,At CO-121/Wadsworth Blvd - Accident.
A-3870269,39.78364,-105.00322,2,Fair,10,0,0,16,4,9,At Pecos St/Exit 273 - Accident.
A-3870272,39.783323,-105.001012,3,Fair,10,0,0,16,4,9,At Pecos St/Exit 273 - Accident. Two lanes blocked.
A-3870278,39.776602,-104.874901,2,Fair,10,20,0,18,4,9,At I-270/Exit 279 - Accident.
A-3870282,38.304326,-104.66352,2,Fair,10,25,0,18,4,9,At Spaulding Ave - Accident.
A-3870284,39.781188,-104.994084,2,Fair,10,10,0,19,4,9,At I-25/US-87/Valley Hwy/Exit 274 - Accident.
A-3870285,39.775504,-104.862273,2,Fair,10,20,0,18,4,9,Between Havana Street/Exit 280 and I-270/Exit 279 - Accident. Two lanes blocked.
A-3870290,39.62985,-106.06398,3,Fair,10,5,0,22,4,9,Closed between CO-9/Exit 203 and US-6/Exit 216 - Road closed due to accident. Road marking work. emergency vehicles at scene.
A-3870291,39.679977,-105.901311,3,Fair,10,5,0,20,4,9,Closed between US-6/Exit 216 and US-6/CO-9/Exit 205 - Road closed due to accident. Road marking work.
A-3870292,39.781989,-104.996947,2,Fair,10,10,0,19,4,9,At I-25/US-87/Valley Hwy/Exit 274 - Accident. Two lanes blocked.
A-3871495,39.855547,-104.986899,2,Fair,10,10,0,7,5,9,At Thornton Pky/Exit 220 - Accident.
A-3871499,39.554005,-105.084776,2,Fair,10,10,0,7,5,9,At CO-121/Wadsworth Blvd - Accident.
A-3871507,39.897868,-104.987519,2,Fair,10,5,0,8,5,9,At CO-128/120th Ave/Exit 223 - Accident.
A-3871508,38.960966,-105.091539,2,Fair,10,15,0,11,5,9,At CO-67 - Accident.
A-3871511,39.776602,-104.874901,2,Fair,10,10,0,10,5,9,At I-270/Exit 279 - Accident.
A-3871514,37.839389,-103.747291,2,Fair,10,5,0,9,5,9,At CR-803/Aguire Rd - Accident.
A-3871517,37.81843,-103.77563,2,Fair,10,5,0,9,5,9,At CO-71/CR-19 - Accident.
A-3871529,39.290085,-104.895131,2,Fair,10,5,0,13,5,9,At Wilcox St/Plum Crk Pky/Exit 181 - Accident.
A-3871532,39.885211,-104.98766,2,Fair,10,0,0,15,5,9,At 104th Ave/Exit 221 - Accident.
A-3871536,39.72543,-105.022416,2,Fair,10,0,0,15,5,9,At CO-88/Federal Blvd - Accident.
A-3871543,39.843321,-104.98448,2,Fair,10,20,0,16,5,9,At US-36/Exit 217 - Accident.
A-3871545,39.77501,-104.856584,2,Fair,10,15,0,16,5,9,At Havana Street/Exit 280 - Accident.
A-3871546,39.885211,-104.98766,2,Fair,10,20,0,17,5,9,At 104th Ave/Exit 221 - Accident.
A-3871550,39.617897,-104.898058,2,Fair,10,15,0,17,5,9,At CO-88/Belleview Ave/Exit 199 - Accident.
A-3871551,37.226697,-107.694498,3,Fair,10,10,0,19,5,9,Closed at Bayfield - Road closed due to accident.
A-3871552,37.224052,-107.679418,3,Fair,10,10,0,19,5,9,Closed at CR-234/CO-172 - Road closed due to accident.
A-3871561,38.916514,-104.982077,2,Fair,10,10,0,21,5,9,At Chipita Park Rd - Accident.
A-3871562,38.915443,-104.980796,2,Fair,10,5,0,22,5,9,At Chipita Park Rd - Accident. Roadway reduced to 1 lane. emergency vehicles at scene.
A-3871563,38.918369,-104.984528,2,Fair,10,5,0,22,5,9,At Palmer Lake - Accident. Roadway reduced to 1 lane. emergency vehicles at scene.
A-3871566,39.617897,-104.898058,2,Fair,10,5,0,22,5,9,At CO-88/Belleview Ave/Exit 199 - Accident.
A-3872776,38.915443,-104.980796,2,Fair,10,5,0,23,5,9,At Palmer Lake - Accident. Roadway reduced to 1 lane. emergency vehicles at scene.
A-3872777,39.813819,-104.951328,2,Fair,10,10,0,1,6,9,At US-85/CO-2/Vasquez Blvd/Exit 2 - Accident.
A-3872778,39.80206,-104.93594,2,Fair,10,5,0,2,6,9,At US-85/CO-2/Vasquez Blvd/Exit 2 - Accident. Right lane blocked.
A-3872779,38.345901,-104.62002,2,Fair,10,10,0,2,6,9,At Pace Rd/Exit 104 - Accident.
A-3872780,38.34687,-104.62008,2,Fair,10,5,0,5,6,9,At Pace Rd/Exit 104 - Accident. Left lane blocked.
A-3872783,38.34687,-104.62008,2,Fair,10,5,0,5,6,9,At Pace Rd/Exit 104 - Accident. Left lane blocked.
A-3872784,39.855547,-104.986899,2,Fair,10,0,0,7,6,9,At Thornton Pky/Exit 220 - Accident.
A-3872785,39.862757,-104.98771,1,Fair,10,0,0,7,6,9,At 84th Ave/Exit 219 - Accident. Lane blocked.
A-3872788,39.815187,-104.983,2,Fair,10,0,0,7,6,9,At I-76/Exit 216 - Accident.
A-3872794,39.897096,-104.846826,2,Fair,10,15,0,8,6,9,At US-85/Exit 12 - Accident.
A-3872795,39.70473,-105.19299,2,Fair,10,0,0,9,6,9,At I-70/US-6 - Accident. Right lane blocked.
A-3872797,38.477474,-107.175445,2,Fair,10,5,0,10,6,9,At CO-92 - Accident.
A-3872798,38.477897,-107.176994,2,Fair,10,5,0,10,6,9,At CO-149 - Accident.
A-3872802,39.629835,-104.905182,2,Fair,10,0,0.01,10,6,9,At I-225 - Accident.
A-3872808,40.046,-104.98077,2,Fair,10,5,0,13,6,9,At CR-8/Exit 232 - Accident.
A-3872809,39.72549,-105.041587,2,Fair,10,10,0,13,6,9,At US-6/Lowell Blvd - Accident.
A-3872813,39.56396,-104.904544,2,Fair,10,15,0,14,6,9,At Quebec St - Accident.
A-3872814,39.604586,-104.890348,2,Light Rain,10,10,0,15,6,9,At Orchard Rd/Exit 198 - Accident.
A-3872815,39.192287,-104.851079,2,Light Rain,10,15,0,17,6,9,At Upper Lake Gulch Rd/Exit 172 - Accident.
A-3872816,39.725599,-104.82461,2,Light Rain,10,5,0.1,17,6,9,At CO-30/6th Ave/Exit 9 - Accident.
A-3872817,39.70043,-104.8292,2,Light Rain,10,25,0.01,17,6,9,At Mississippi Ave/Exit 7 - Accident.
